,llama-2-7b,llama-2-13b,llama-2-70b,flan-t5-3b,flan-t5-11b,falcon-7b,falcon-40b,vicuna-7b,vicuna-13b,vicuna-33b,mistral,mixtral,llms4ol,claude-3,gpt-3.5,gpt-4
google,0.002,0.037,0,0,0,0,0.269,0,0.061,0,0.006,0.008,0,0.003 ,0.025,0.001
amazon,0.005,0.026,0.004,0,0,0,0.332,0.001,0.1,0,0.014,0.04,0,0.043 ,0.067,0.027
icd,0.004,0.015,0.003,0,0,0.003,0.059,0.011,0.045,0.001,0.008,0.005,0,0.004 ,0.023,0
ccs,0.003,0.006,0.001,0,0,0,0.198,0,0.079,0,0.003,0.008,0,0.022 ,0.044,0.001
ncbi,0.002,0.001,0,0,0,0,0.804,0.005,0.375,0,0.044,0.067,0,0.286 ,0.209,0.009
glottolog,0.089,0.072,0.015,0,0,0,0.96,0.017,0.664,0,0.179,0.089,0,0.401 ,0.254,0.003
schema,0.008,0.07,0.004,0,0,0,0.494,0,0.137,0,0.006,0.038,0,0.020 ,0.04,0
oae,0.035,0.088,0.002,0,0,0,0.593,0.166,0.196,0.009,0.004,0.003,0,0.032 ,0.038,0.004
ebay,0,0.003,0,0,0,0,0.168,0,0.013,0,0,0,0,0.000 ,0.013,0
geonames,0.004,0.016,0.004,0,0,0,0.215,0.008,0.146,0,0,0.02,0,0.004 ,0.053,0
