,llama-2-7b,llama-2-13b,llama-2-70b,llama-3-8b,llama-3-70b,flan-t5-3b,flan-t5-11b,falcon-7b,falcon-40b,vicuna-7b,vicuna-13b,vicuna-33b,mistral,mixtral,llms4ol,claude-3,gpt-3.5,gpt-4
google,0.002,0.049,0.002,0.006 ,0.001 ,0,0,0,0.356,0,0.07,0,0.006,0.009,0,0.005,0.025,0.001
amazon,0.005,0.036,0.006,0.015 ,0.021 ,0,0,0,0.396,0.002,0.107,0,0.023,0.032,0,0.046,0.055,0.025
icd,0.011,0.018,0.003,0.001 ,0.000 ,0,0,0.003,0.085,0.023,0.062,0.004,0.014,0.008,0,0.003,0.049,0
ccs,0.005,0.012,0.001,0.008 ,0.003 ,0,0,0,0.226,0,0.071,0.003,0.004,0.009,0,0.029,0.049,0.001
ncbi,0.003,0.002,0,0.002 ,0.002 ,0,0,0.001,0.834,0.019,0.404,0,0.061,0.082,0,0.324,0.261,0.011
glottolog,0.222,0.101,0.026,0.112 ,0.010 ,0,0,0,0.965,0.042,0.703,0.001,0.254,0.109,0,0.426,0.315,0.002
schema,0.032,0.105,0.007,0.014 ,0.011 ,0,0,0,0.586,0.001,0.1,0,0.014,0.038,0,0.024,0.039,0.001
oae,0.141,0.131,0.002,0.001 ,0.002 ,0,0,0,0.663,0.225,0.232,0.002,0.006,0.007,0,0.03,0.041,0.003
ebay,0,0.007,0,0.000 ,0.000 ,0,0,0,0.241,0,0.02,0,0,0,0,0,0.013,0
geonames,0.024,0.02,0.004,0.000 ,0.000 ,0,0,0,0.354,0.016,0.118,0,0,0.02,0,0,0.037,0
