,llama-2-7b,llama-2-13b,llama-2-70b,flan-t5-3b,flan-t5-11b,falcon-7b,falcon-40b,vicuna-7b,vicuna-13b,vicuna-33b,mistral,mixtral,llms4ol,claude-3,gpt-3.5,gpt-4
google,0.393,0.547,0.794,0.878,0.902,0.275,0.525,0.527,0.747,0.338,0.713,0.876,0.924,0.922 ,0.894,0.932
amazon,0.399,0.551,0.704,0.756,0.805,0.259,0.465,0.493,0.636,0.307,0.666,0.768,0.851,0.830 ,0.782,0.849
icd,0.406,0.695,0.776,0.836,0.877,0.254,0.711,0.528,0.833,0.401,0.765,0.923,0.921,0.962 ,0.915,0.964
ccs,0.259,0.45,0.556,0.664,0.696,0.24,0.389,0.384,0.543,0.261,0.582,0.707,0.796,0.741 ,0.709,0.79
ncbi,0.271,0.368,0.359,0.524,0.55,0.255,0.117,0.392,0.362,0.252,0.519,0.634,0.65,0.577 ,0.531,0.701
glottolog,0.313,0.305,0.352,0.506,0.583,0.26,0.036,0.409,0.205,0.253,0.436,0.611,0.66,0.497 ,0.534,0.683
schema,0.304,0.448,0.604,0.799,0.841,0.233,0.368,0.425,0.523,0.266,0.692,0.775,0.921,0.894 ,0.842,0.907
oae,0.283,0.429,0.613,0.777,0.817,0.262,0.168,0.473,0.691,0.285,0.768,0.797,0.941,0.885 ,0.824,0.9
ebay,0.488,0.68,0.881,0.898,0.904,0.261,0.578,0.617,0.838,0.327,0.828,0.924,0.954,0.947 ,0.931,0.947
geonames,0.305,0.313,0.35,0.455,0.634,0.256,0.305,0.313,0.317,0.264,0.415,0.537,0.683,0.638 ,0.504,0.695
