,llama-2-7b,llama-2-13b,llama-2-70b,llama-3-8b,llama-3-70b,flan-t5-3b,flan-t5-11b,falcon-7b,falcon-40b,vicuna-7b,vicuna-13b,vicuna-33b,mistral,mixtral,llms4ol,claude-3,gpt-3.5,gpt-4
google,0.908,0.005,0,0.000 ,0.039 ,0,0,0,0.636,0,0.084,0,0.433,0.002,0,0.068,0.045,0.008
amazon,0.946,0.012,0.001,0.000 ,0.103 ,0,0,0,0.732,0,0.115,0,0.48,0.002,0,0.199,0.148,0.044
icd,0.88,0.077,0.04,0.020 ,0.055 ,0,0,0,0.536,0,0.234,0.016,0.491,0.048,0,0.021,0.099,0.001
ccs,0.967,0.024,0.004,0.000 ,0.104 ,0,0,0,0.957,0,0.059,0,0.471,0.202,0,0.121,0.169,0.014
ncbi,1,0.31,0.138,0.015 ,0.399 ,0,0,0,0.987,0.002,0.53,0.216,0.811,0.465,0,0.494,0.354,0.089
glottolog,0.999,0.733,0.487,0.086 ,0.591 ,0,0,0,0.977,0,0.62,0.272,0.842,0.526,0,0.736,0.31,0.141
schema,1,0.02,0.001,0.000 ,0.602 ,0,0,0,0.987,0,0.133,0.01,0.774,0.024,0,0.664,0.334,0.183
oae,0.996,0.145,0.022,0.000 ,0.139 ,0,0,0,0.994,0,0.526,0.001,0.565,0.066,0,0.095,0.167,0.032
ebay,0.804,0,0,0.000 ,0.005 ,0,0,0,0.541,0,0.035,0,0.347,0.005,0,0.018,0.026,0.002
geonames,0.994,0.006,0,0.000 ,0.073 ,0,0,0,0.86,0,0.114,0,0.691,0.041,0,0.138,0.057,0.002
