,llama-2-7b,llama-2-13b,llama-2-70b,llama-3-8b,llama-3-70b,flan-t5-3b,flan-t5-11b,falcon-7b,falcon-40b,vicuna-7b,vicuna-13b,vicuna-33b,mistral,mixtral,llms4ol,claude-3,gpt-3.5,gpt-4
google,0.09,0.886,0.945,0.940 ,0.927 ,0.934,0.944,0.574,0.357,0.915,0.741,0.857,0.509,0.894,0.908,0.91,0.92,0.962
amazon,0.053,0.798,0.865,0.871 ,0.797 ,0.826,0.834,0.553,0.255,0.814,0.708,0.839,0.46,0.829,0.89,0.758,0.775,0.879
icd,0.115,0.815,0.884,0.915 ,0.899 ,0.811,0.871,0.677,0.449,0.877,0.668,0.887,0.467,0.873,0.935,0.953,0.851,0.964
ccs,0.032,0.789,0.817,0.829 ,0.787 ,0.732,0.737,0.577,0.042,0.748,0.575,0.737,0.428,0.656,0.844,0.784,0.711,0.86
ncbi,0,0.411,0.536,0.785 ,0.514 ,0.605,0.643,0.618,0.012,0.676,0.347,0.601,0.176,0.451,0.748,0.486,0.529,0.789
glottolog,0.001,0.149,0.292,0.665 ,0.354 ,0.588,0.595,0.504,0.021,0.671,0.297,0.536,0.146,0.369,0.739,0.256,0.563,0.71
schema,0,0.727,0.616,0.819 ,0.376 ,0.751,0.804,0.504,0.013,0.723,0.58,0.792,0.211,0.745,0.932,0.331,0.593,0.773
oae,0.004,0.714,0.761,0.893 ,0.804 ,0.851,0.875,0.495,0.005,0.878,0.409,0.887,0.405,0.809,0.933,0.869,0.778,0.866
ebay,0.196,0.926,0.931,0.931 ,0.939 ,0.926,0.944,0.607,0.434,0.919,0.812,0.871,0.571,0.898,0.929,0.932,0.921,0.946
geonames,0.006,0.543,0.553,0.663 ,0.693 ,0.539,0.52,0.533,0.106,0.705,0.492,0.728,0.24,0.604,0.677,0.679,0.598,0.648
