,llama-2-7b,llama-2-13b,llama-2-70b,flan-t5-3b,flan-t5-11b,falcon-7b,falcon-40b,vicuna-7b,vicuna-13b,vicuna-33b,mistral,mixtral,llms4ol,claude-3,gpt-3.5,gpt-4
google,0.813 ,0.004 ,0.002 ,0.000 ,0.000 ,0.000 ,0.550 ,0.000 ,0.018 ,0.000 ,0.255 ,0.000 ,0.000 ,0.103 ,0.045 ,0.011 
amazon,0.913 ,0.002 ,0.002 ,0.000 ,0.000 ,0.000 ,0.689 ,0.000 ,0.030 ,0.000 ,0.387 ,0.002 ,0.000 ,0.243 ,0.146 ,0.050 
icd,0.844 ,0.027 ,0.026 ,0.000 ,0.000 ,0.000 ,0.470 ,0.000 ,0.058 ,0.001 ,0.420 ,0.013 ,0.000 ,0.040 ,0.064 ,0.001 
ccs,0.946 ,0.012 ,0.003 ,0.000 ,0.000 ,0.000 ,0.958 ,0.000 ,0.015 ,0.001 ,0.338 ,0.066 ,0.000 ,0.126 ,0.182 ,0.014 
ncbi,0.999 ,0.259 ,0.163 ,0.000 ,0.000 ,0.000 ,0.985 ,0.003 ,0.421 ,0.201 ,0.769 ,0.215 ,0.000 ,0.447 ,0.327 ,0.120 
glottolog,0.998 ,0.704 ,0.516 ,0.000 ,0.000 ,0.000 ,0.973 ,0.000 ,0.533 ,0.403 ,0.839 ,0.276 ,0.000 ,0.694 ,0.328 ,0.173 
schema,0.999 ,0.011 ,0.000 ,0.000 ,0.000 ,0.000 ,0.991 ,0.000 ,0.087 ,0.017 ,0.735 ,0.010 ,0.000 ,0.607 ,0.278 ,0.226 
oae,0.995 ,0.046 ,0.018 ,0.000 ,0.000 ,0.000 ,0.987 ,0.000 ,0.365 ,0.001 ,0.533 ,0.018 ,0.000 ,0.160 ,0.206 ,0.031 
ebay,0.721 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.507 ,0.000 ,0.003 ,0.000 ,0.272 ,0.002 ,0.000 ,0.040 ,0.020 ,0.005 
geonames,0.990 ,0.002 ,0.000 ,0.000 ,0.000 ,0.000 ,0.829 ,0.000 ,0.098 ,0.000 ,0.695 ,0.008 ,0.000 ,0.157 ,0.091 ,0.002 
