,llama-2-7b,llama-2-13b,llama-2-70b,llama-3-8b,llama-3-70b,flan-t5-3b,flan-t5-11b,falcon-7b,falcon-40b,vicuna-7b,vicuna-13b,vicuna-33b,mistral,mixtral,llms4ol,claude-3,gpt-3.5,gpt-4
google,0.17,0.829,0.822,0.780 ,0.816 ,0.829,0.861,0.583,0.374,0.737,0.596,0.673,0.521,0.72,0.858,0.771,0.808,0.859
amazon,0.079,0.78,0.804,0.793 ,0.767 ,0.783,0.781,0.554,0.27,0.733,0.62,0.715,0.464,0.724,0.849,0.66,0.712,0.805
icd,0.137,0.81,0.818,0.876 ,0.880 ,0.767,0.841,0.648,0.474,0.761,0.676,0.763,0.475,0.847,0.89,0.866,0.839,0.91
ccs,0.047,0.639,0.69,0.652 ,0.702 ,0.683,0.694,0.56,0.035,0.601,0.527,0.592,0.421,0.644,0.756,0.626,0.59,0.693
ncbi,0.001,0.457,0.51,0.688 ,0.558 ,0.6,0.626,0.575,0.014,0.603,0.361,0.515,0.179,0.548,0.726,0.457,0.486,0.669
glottolog,0.002,0.182,0.287,0.609 ,0.378 ,0.593,0.588,0.504,0.022,0.635,0.304,0.417,0.132,0.506,0.71,0.259,0.488,0.609
schema,0.001,0.73,0.638,0.787 ,0.468 ,0.768,0.795,0.515,0.009,0.681,0.576,0.745,0.227,0.7,0.911,0.364,0.642,0.72
oae,0.005,0.809,0.782,0.867 ,0.790 ,0.848,0.859,0.499,0.011,0.814,0.48,0.82,0.405,0.819,0.906,0.761,0.72,0.845
ebay,0.264,0.898,0.899,0.886 ,0.904 ,0.906,0.917,0.653,0.434,0.818,0.682,0.761,0.583,0.784,0.899,0.891,0.884,0.916
geonames,0.01,0.543,0.553,0.681 ,0.732 ,0.575,0.53,0.537,0.132,0.697,0.5,0.73,0.246,0.671,0.683,0.667,0.602,0.665
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
