,llama-2-7b,llama-2-13b,llama-2-70b,flan-t5-3b,flan-t5-11b,falcon-7b,falcon-40b,vicuna-7b,vicuna-13b,vicuna-33b,mistral,mixtral,llms4ol,claude-3,gpt-3.5,gpt-4
google,0.151,0.821,0.81,0.825,0.855,0.587,0.359,0.731,0.602,0.713,0.51,0.704,0.858,0.743,0.791,0.851
amazon,0.073 ,0.775 ,0.798 ,0.775 ,0.782 ,0.552 ,0.237 ,0.716 ,0.619 ,0.730 ,0.435 ,0.719 ,0.850 ,0.632 ,0.684 ,0.804 
icd,0.126 ,0.802 ,0.804 ,0.764 ,0.830 ,0.646 ,0.442 ,0.756 ,0.667 ,0.763 ,0.474 ,0.839 ,0.888 ,0.851 ,0.791 ,0.908 
ccs,0.035 ,0.620 ,0.661 ,0.679 ,0.696 ,0.561 ,0.039 ,0.582 ,0.526 ,0.609 ,0.414 ,0.644 ,0.751 ,0.611 ,0.549 ,0.681 
ncbi,0.000 ,0.390 ,0.438 ,0.610 ,0.620 ,0.548 ,0.014 ,0.588 ,0.354 ,0.543 ,0.152 ,0.563 ,0.724 ,0.459 ,0.443 ,0.644 
glottolog,0.001 ,0.165 ,0.234 ,0.591 ,0.586 ,0.503 ,0.015 ,0.641 ,0.259 ,0.405 ,0.105 ,0.508 ,0.712 ,0.243 ,0.435 ,0.565 
schema,0.001,0.755,0.644,0.769,0.789,0.511,0.006,0.753,0.599,0.78,0.206,0.697,0.91,0.38,0.596,0.744
oae,0.005 ,0.779 ,0.726 ,0.863 ,0.860 ,0.504 ,0.014 ,0.788 ,0.471 ,0.802 ,0.402 ,0.832 ,0.909 ,0.695 ,0.628 ,0.822 
ebay,0.203 ,0.891 ,0.894 ,0.901 ,0.908 ,0.655 ,0.393 ,0.815 ,0.688 ,0.802 ,0.561 ,0.771 ,0.901 ,0.858 ,0.876 ,0.916 
geonames,0.010 ,0.541 ,0.573 ,0.638 ,0.526 ,0.551 ,0.132 ,0.693 ,0.490 ,0.717 ,0.299 ,0.622 ,0.693 ,0.681 ,0.598 ,0.699 
